Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Floor,Exterior,"7,8,9",FALSE,RAISED_MASS,RESIDENTIAL,FALSE,0.092,,,
Floor,Exterior,16,FALSE,RAISED_MASS,RESIDENTIAL,FALSE,0.037,,,
Floor,Exterior,1,FALSE,OTHER,NONRESIDENTIAL,FALSE,0.048,,,
Floor,Exterior,"2,11,14,15,16",FALSE,OTHER,NONRESIDENTIAL,FALSE,0.039,,,
Floor,Exterior,"3,4,5,6,7,8,9,10,12,13",FALSE,OTHER,NONRESIDENTIAL,FALSE,0.071,,,
Floor,Exterior,"1,2,14,16",FALSE,OTHER,RESIDENTIAL,FALSE,0.034,,,
Floor,Exterior,"3,4,5,6,8,9,10,11,12,13,15",FALSE,OTHER,RESIDENTIAL,FALSE,0.039,,,
Floor,Exterior,7,FALSE,OTHER,RESIDENTIAL,FALSE,0.071,,,
Floor,Exterior,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",TRUE,SLAB_VERTICAL_INSULATION,"NONRESIDENTIAL,RESIDENTIAL",TRUE,,,5,16 inches (or frostline)
Floor,Exterior,16,TRUE,SLAB_VERTICAL_INSULATION,"NONRESIDENTIAL,RESIDENTIAL",TRUE,,,10,16 inches (or frostline)
Floor,Exterior,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",TRUE,SLAB_HORIZONTAL_INSULATION,"NONRESIDENTIAL,RESIDENTIAL",TRUE,,,5,48 inches
Floor,Exterior,16,TRUE,SLAB_HORIZONTAL_INSULATION,"NONRESIDENTIAL,RESIDENTIAL",TRUE,,,7,48 inches
