Surface Type,Location,Climate Zones,Ground Adjacent,Construction Type,Occupancy Types,Heated,U/F/C,R-Cavity,R-Continuous,Notes
Floor,Exterior,"2A,2B",FALSE,MASS,RESIDENTIAL,FALSE,0.087,0,8.3,
Floor,Exterior,"2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C",FALSE,STEEL_JOIST,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.038,30,0,
Floor,Semi-exterior,"2A,2B",FALSE,STEEL_JOIST,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.069,13,0,
Floor,Exterior,"2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.033,30,0,
Floor,Semi-exterior,"2A,2B",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.066,13,0,
Floor,Exterior,"3A,3B,3C",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.074,0,10,
Floor,Semi-exterior,"3A,3B,3C",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.137,0,4.2,
Floor,Semi-exterior,"3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7,8",FALSE,STEEL_JOIST,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.052,19,0,
Floor,Semi-exterior,"3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.051,19,0,
Floor,Exterior,"4A,4B,4C,5A,5B,5C",FALSE,MASS,NONRESIDENTIAL,FALSE,0.057,0,14.6,
Floor,Exterior,"4A,4B,4C,5A,5B,5C",FALSE,MASS,RESIDENTIAL,FALSE,0.051,0,16.7,
Floor,Semi-exterior,"4A,4B,4C,5A,5B,5C",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.107,0,6.3,
Floor,Exterior,"6A,6B",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.051,0,16.7,
Floor,Semi-exterior,"6A,6B",FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.087,0,8.3,
Floor,Exterior,"6A,6B,7,8",FALSE,STEEL_JOIST,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.032,38,0,
Floor,Exterior,"6A,6B,7,8",FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.027,38,0,
Floor,Exterior,7,FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.042,0,20.9,
Floor,Semi-exterior,7,FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.074,0,10.4,
Floor,Exterior,8,FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.038,0,23,
Floor,Semi-exterior,8,FALSE,MASS,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.064,0,12.5,
Floor,Semi-exterior,8,FALSE,"WOOD_FRAMED,OTHER","NONRESIDENTIAL,RESIDENTIAL",FALSE,0.033,30,0,
Floor,Exterior,"0A,0B,1A,1B,2A,2B",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.73,0,0,
Floor,Semi-exterior,"0A,0B,1A,1B,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,7",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.73,0,0,
Floor,Exterior,"0A,0B,1A,1B",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,1.02,0,7.5,12 inches
Floor,Semi-exterior,"0A,0B,1A,1B,2A,2B,3A,3B,3C",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,1.02,0,7.5,12 inches
Floor,Exterior,"2A,2B",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,TRUE,0.9,0,10,24 inches
Floor,Exterior,"2A,2B,3A,3B,3C",TRUE,SLAB_ON_GRADE,RESIDENTIAL,TRUE,0.86,0,15,24 inches
Floor,Exterior,"3A,3B,3C",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,FALSE,0.73,0,0,
Floor,Exterior,"3A,3B,3C",TRUE,SLAB_ON_GRADE,RESIDENTIAL,FALSE,0.54,0,10,24 inches
Floor,Exterior,"3A,3B,3C",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,TRUE,0.86,0,15,24 inches
Floor,Exterior,"4A,4B,4C",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.52,0,15,24 inches
Floor,Exterior,"4A,4B,4C",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,TRUE,0.843,0,20,24 inches
Floor,Exterior,"4A,4B,4C",TRUE,SLAB_ON_GRADE,RESIDENTIAL,TRUE,0.688,0,20,48 inches
Floor,Semi-exterior,"4A,4B,4C,5A,5B,5C",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,0.9,0,10,24 inches
Floor,Exterior,"5A,5B,5C",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,FALSE,0.52,0,15,24 inches
Floor,Exterior,"5A,5B,5C",TRUE,SLAB_ON_GRADE,RESIDENTIAL,FALSE,0.51,0,20,24 inches
Floor,Exterior,"5A,5B,5C",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,0.688,0,20,48 inches
Floor,Exterior,"6A,6B,7",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,FALSE,0.51,0,20,24 inches
Floor,Exterior,"6A,6B,7",TRUE,SLAB_ON_GRADE,RESIDENTIAL,FALSE,0.434,0,20,48 inches
Floor,Exterior,"6A,6B",TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,TRUE,0.688,0,20,48 inches
Floor,Exterior,"6A,6B",TRUE,SLAB_ON_GRADE,RESIDENTIAL,TRUE,0.671,0,25,48 inches
Floor,Semi-exterior,"6A,6B,7,8",TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,0.86,0,15,24 inches
Floor,Exterior,7,TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",TRUE,0.671,0,25,48 inches
Floor,Exterior,8,TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,FALSE,0.434,0,20,48 inches
Floor,Exterior,8,TRUE,SLAB_ON_GRADE,RESIDENTIAL,FALSE,0.424,0,25,48 inches
Floor,Semi-exterior,8,TRUE,SLAB_ON_GRADE,"NONRESIDENTIAL,RESIDENTIAL",FALSE,0.54,0,10,24 inches
Floor,Exterior,8,TRUE,SLAB_ON_GRADE,NONRESIDENTIAL,TRUE,0.671,0,25,48 inches
Floor,Exterior,8,TRUE,SLAB_ON_GRADE,RESIDENTIAL,TRUE,0.373,0,20,Full slab
